date,species,trap,addressnumberandstreet,latitude,longitude,nummosquitos,wnvpresent
2007-05-29,culex pipiens/restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,1,0
2007-05-29,culex restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,1,0
2007-05-29,culex restuans,T007,"6200  n mandell ave, chicago, il",41.994991,-87.769279,1,0
2007-05-29,culex pipiens/restuans,T015,"7900  w foster ave, chicago, il",41.974089,-87.824812,1,0
2007-05-29,culex restuans,T015,"7900  w foster ave, chicago, il",41.974089,-87.824812,4,0
2007-05-29,culex restuans,T045,"1500  w webster ave, chicago, il",41.9216,-87.666455,2,0
2007-05-29,culex restuans,T046,"2500  w grand ave, chicago, il",41.891118,-87.65449100000001,1,0
2007-05-29,culex pipiens/restuans,T048,"1100  w roosevelt, chicago, il",41.867108,-87.654224,1,0
2007-05-29,culex restuans,T048,"1100  w roosevelt, chicago, il",41.867108,-87.654224,2,0
2007-05-29,culex restuans,T049,"1100  w chicago, chicago, il",41.896282,-87.655232,1,0
2007-05-29,culex pipiens/restuans,T050,"2100  n stave st, chicago, il",41.919343,-87.694259,1,0
2007-05-29,culex pipiens/restuans,T054,"2200  n cannon dr, chicago, il",41.921965,-87.632085,2,0
2007-05-29,culex restuans,T054,"2200  n cannon dr, chicago, il",41.921965,-87.632085,3,0
2007-05-29,culex pipiens/restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,1,0
2007-05-29,culex restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,1,0
2007-05-29,culex restuans,T091,"1100  s peoria st, chicago, il",41.862292,-87.64886,1,0
2007-05-29,culex restuans,T094,"1700  w 95th st, chicago, il",41.720848,-87.666014,3,0
2007-05-29,culex restuans,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,5,0
2007-05-29,culex pipiens,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,1,0
2007-05-29,culex pipiens/restuans,T129,"5300  n streeter dr, chicago, il",41.891126,-87.61156,1,0
2007-05-29,culex restuans,T129,"5300  n streeter dr, chicago, il",41.891126,-87.61156,2,0
2007-05-29,culex pipiens/restuans,T143,"6500  n oak park ave, chicago, il",41.999128999999996,-87.795585,1,0
2007-05-29,culex pipiens/restuans,T148,"7500  n oakley ave, chicago, il",42.01743,-87.68776899999999,1,0
2007-05-29,culex restuans,T153,"1500  n long ave, chicago, il",41.907645,-87.760886,1,0
2007-05-29,culex restuans,T159,"8900  s carpenter st, chicago, il",41.732984,-87.649642,1,0
2007-06-05,culex pipiens/restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,3,0
2007-06-05,culex restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,5,0
2007-06-05,culex pipiens,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,1,0
2007-06-05,culex pipiens/restuans,T015,"7900  w foster ave, chicago, il",41.974089,-87.824812,1,0
2007-06-05,culex restuans,T015,"7900  w foster ave, chicago, il",41.974089,-87.824812,2,0
2007-06-05,culex pipiens/restuans,T045,"1500  w webster ave, chicago, il",41.9216,-87.666455,1,0
2007-06-05,culex restuans,T045,"1500  w webster ave, chicago, il",41.9216,-87.666455,2,0
2007-06-05,culex pipiens,T045,"1500  w webster ave, chicago, il",41.9216,-87.666455,1,0
2007-06-05,culex restuans,T046,"2500  w grand ave, chicago, il",41.891118,-87.65449100000001,1,0
2007-06-05,culex pipiens/restuans,T048,"1100  w roosevelt, chicago, il",41.867108,-87.654224,1,0
2007-06-05,culex restuans,T048,"1100  w roosevelt, chicago, il",41.867108,-87.654224,1,0
2007-06-05,culex pipiens,T048,"1100  w roosevelt, chicago, il",41.867108,-87.654224,2,0
2007-06-05,culex restuans,T049,"1100  w chicago, chicago, il",41.896282,-87.655232,2,0
2007-06-05,culex pipiens/restuans,T050,"2100  n stave st, chicago, il",41.919343,-87.694259,1,0
2007-06-05,culex restuans,T050,"2100  n stave st, chicago, il",41.919343,-87.694259,1,0
2007-06-05,culex restuans,T054,"2200  n cannon dr, chicago, il",41.921965,-87.632085,3,0
2007-06-05,culex restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,4,0
2007-06-05,culex pipiens/restuans,T094,"1700  w 95th st, chicago, il",41.720848,-87.666014,2,0
2007-06-05,culex pipiens/restuans,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,1,0
2007-06-05,culex restuans,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,1,0
2007-06-05,culex pipiens,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,1,0
2007-06-05,culex pipiens/restuans,T143,"6500  n oak park ave, chicago, il",41.999128999999996,-87.795585,2,0
2007-06-05,culex restuans,T143,"6500  n oak park ave, chicago, il",41.999128999999996,-87.795585,9,0
2007-06-05,culex restuans,T153,"1500  n long ave, chicago, il",41.907645,-87.760886,3,0
2007-06-05,culex restuans,T159,"8900  s carpenter st, chicago, il",41.732984,-87.649642,1,0
2007-06-05,culex restuans,T009,"9100  w higgins ave, chicago, il",41.981964000000005,-87.812827,2,0
2007-06-05,culex restuans,T011,"3600  n pittsburgh ave, chicago, il",41.944869,-87.832763,1,0
2007-06-05,culex restuans,T016,"7200  n oketo ave, chicago, il",42.011601,-87.81150600000001,1,0
2007-06-05,culex restuans,T019,"3800  n california ave, chicago, il",41.94983,-87.69845699999999,1,0
2007-06-05,culex restuans,T025,"4900  w balmoral ave, chicago, il",41.979243,-87.750938,1,0
2007-06-05,culex restuans,T028,"5800  n western ave, chicago, il",41.986921,-87.689778,2,0
2007-06-05,culex pipiens/restuans,T031,"5000  s central ave, chicago, il",41.801497999999995,-87.763416,1,0
2007-06-05,culex restuans,T033,"1400  n humboldt dr, chicago, il",41.906638,-87.701431,3,0
2007-06-05,culex restuans,T089,"1000  s vincennes, chicago, il",41.723195000000004,-87.64997,1,0
2007-06-05,culex pipiens/restuans,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,1,0
2007-06-05,culex restuans,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,7,0
2007-06-05,culex pipiens/restuans,T092,"1100  s state st, chicago, il",41.869215999999994,-87.627561,1,0
2007-06-05,culex pipiens/restuans,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,2,0
2007-06-05,culex restuans,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,4,0
2007-06-05,culex pipiens,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,1,0
2007-06-05,culex pipiens/restuans,T141,"5300  w agatite ave, chicago, il",41.961743,-87.76007,1,0
2007-06-05,culex restuans,T141,"5300  w agatite ave, chicago, il",41.961743,-87.76007,2,0
2007-06-05,culex pipiens/restuans,T142,"4000  n austin ave, chicago, il",41.953067,-87.776792,1,0
2007-06-05,culex restuans,T142,"4000  n austin ave, chicago, il",41.953067,-87.776792,3,0
2007-06-05,culex restuans,T145,"4300  n ashland ave overpass, chicago, il",41.878114000000004,-87.629798,3,0
2007-06-05,culex pipiens/restuans,T146,"4200  n richmond st, chicago, il",41.958271,-87.702575,1,0
2007-06-05,culex restuans,T146,"4200  n richmond st, chicago, il",41.958271,-87.702575,2,0
2007-06-05,culex restuans,T147,"2800  n francisco ave, chicago, il",41.932094,-87.700117,1,0
2007-06-05,culex pipiens/restuans,T149,"1500  w granville ave, chicago, il",41.994469,-87.667736,1,0
2007-06-05,culex restuans,T150,"1800  w farwell ave, chicago, il",42.006858,-87.675919,2,0
2007-06-05,culex pipiens/restuans,T151,"7000   w armitage avenue, chicago, il",41.916265,-87.800515,1,0
2007-06-05,culex restuans,T151,"7000   w armitage avenue, chicago, il",41.916265,-87.800515,10,0
2007-06-05,culex restuans,T152,"2500  s millard ave, chicago, il",41.846075,-87.716277,1,0
2007-06-05,culex restuans,T154,"2100  n lawler ave, chicago, il",41.918704999999996,-87.752329,1,0
2007-06-05,culex pipiens/restuans,T158,"3500  w 116th st, chicago, il",41.682587,-87.707973,3,0
2007-06-05,culex restuans,T158,"3500  w 116th st, chicago, il",41.682587,-87.707973,8,0
2007-06-05,culex pipiens/restuans,T162,"9300  s dr martin luther king jr dr, chicago, il",41.725516999999996,-87.61425799999999,1,0
